pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1.0	1.5	6.572e-02	1.530e-03	5.801e-03	2.457e-03
1.5	2.0	1.176e-02	2.813e-04	1.034e-03	4.780e-04
2.0	2.5	2.620e-03	7.097e-05	2.325e-04	1.139e-04
2.5	3.0	6.887e-04	2.754e-05	6.146e-05	3.141e-05
3.0	3.5	2.245e-04	1.225e-05	2.061e-05	1.053e-05
3.5	4.0	6.838e-05	4.876e-06	6.562e-06	3.312e-06
4.0	4.5	2.610e-05	3.041e-06	2.855e-06	1.192e-06
4.5	5.0	1.032e-05	1.636e-06	1.414e-06	4.110e-07
5.0	5.5	6.499e-06	1.178e-06	9.950e-07	2.705e-07
5.5	6.0	2.317e-06	6.410e-07	7.079e-07	1.159e-07
6.0	6.5	1.056e-06	3.991e-07	4.220e-07	5.280e-08
