pT_low  pT_high     R_AA        eR_AA   eNorm
1.0     1.5         0.443       0.049   0.060
1.5     2.0         0.505       0.055   0.069
2.0     2.5         0.504       0.057   0.069
2.5     3.0         0.430       0.051   0.059
3.0     3.5         0.380       0.049   0.054
3.5     4.0         0.366       0.052   0.052
4.0     4.5         0.373       0.048   0.050
4.5     5.0         0.380       0.051   0.051
5.0     5.5         0.347       0.049   0.052
5.5     6.0         0.303       0.044   0.047
6.0     6.5         0.345       0.055   0.041
6.5     7.0         0.305       0.052   0.047
7.0     7.5         0.334       0.065   0.041
7.5     8.0         0.423       0.097   0.045
8.0     9.0         0.289       0.076   0.058
8.5     9.0         0.411       0.123   0.039
9.0     9.5         0.387       0.130   0.056
9.5     10.0        0.397       0.185   0.053
11.0    12.0        0.395       0.163   0.136
