dphi(rad)_low	dphi(rad)_high	C(dphi)	stat.
0.000000	0.174533	1.087873	0.001707
0.174533	0.349066	1.067851	0.001862
0.349066	0.523599	1.032067	0.001836
0.523599	0.698132	0.994841	0.001943
0.698132	0.872665	0.960832	0.002124
0.872665	1.047198	0.938086	0.002354
1.047198	1.221730	0.914946	0.002662
1.221730	1.396263	0.914964	0.003070
1.396263	1.570796	0.912454	0.003173
1.570796	1.745329	0.923957	0.002927
1.745329	1.919862	0.932231	0.002630
1.919862	2.094395	0.944317	0.002411
2.094395	2.268928	0.966725	0.002291
2.268928	2.443461	0.980395	0.002215
2.443461	2.617994	0.998297	0.002114
2.617994	2.792527	1.010128	0.002092
2.792527	2.967060	1.019930	0.002036
2.967060	3.141593	1.025641	0.002062
