dphi(rad)_low	dphi(rad)_high	C(dphi)	stat.
0.000000	0.174533	1.366308	0.031042
0.174533	0.349066	1.227770	0.031806
0.349066	0.523599	1.035053	0.029262
0.523599	0.698132	0.933472	0.029729
0.698132	0.872665	0.844041	0.031532
0.872665	1.047198	0.832739	0.035218
1.047198	1.221730	0.762295	0.038597
1.221730	1.396263	0.680993	0.040975
1.396263	1.570796	0.767203	0.045445
1.570796	1.745329	0.826683	0.044344
1.745329	1.919862	0.808984	0.038172
1.919862	2.094395	0.837824	0.035768
2.094395	2.268928	0.933675	0.035648
2.268928	2.443461	0.881166	0.033003
2.443461	2.617994	0.980717	0.033668
2.617994	2.792527	0.980320	0.032848
2.792527	2.967060	1.060679	0.033334
2.967060	3.141593	1.095873	0.034647
