# dphi(rad)_low dphi(rad)_high C(dphi) stat.
0.000000 0.174533 1.366 0.031
0.174533 0.349066 1.228 0.032
0.349066 0.523599 1.035 0.029
0.523599 0.698132 0.933 0.030
0.698132 0.872665 0.844 0.032
0.872665 1.047198 0.833 0.035
1.047198 1.221730 0.76 0.04
1.221730 1.396263 0.68 0.04
1.396263 1.570796 0.77 0.05
1.570796 1.745329 0.83 0.04
1.745329 1.919862 0.81 0.04
1.919862 2.094395 0.84 0.04
2.094395 2.268928 0.93 0.04
2.268928 2.443461 0.881 0.033
2.443461 2.617994 0.981 0.034
2.617994 2.792527 0.980 0.033
2.792527 2.967060 1.061 0.033
2.967060 3.141593 1.096 0.035
