dphi_low	dphi_high	1/Ntrig	    dY
0.000000	0.261799	0.04028660	0.00365000
0.261799	0.523599	0.03432660	0.00391000
0.523599	0.785398	0.00598334	0.00427666
0.785398	1.047198	0.00066333	0.00507000
1.047198	1.308997	0.01341000	0.00604000
1.308997	1.570796	0.02557660	0.00669666
1.570796	1.832596	0.03643340	0.00611666
1.832596	2.094395	0.04173000	0.00541666
2.094395	2.356194	0.05060340	0.00498666
2.356194	2.617994	0.04328340	0.00469334
2.617994	2.879793	0.04511000	0.00458000
2.879793	3.141593	0.02799340	0.00447000
