dphi_low	dphi_high	1/Ntrig     dY
0.000000	0.174533	0.5806530	0.0124067
0.174533	0.349066	0.5024500	0.0136900
0.349066	0.523599	0.3263900	0.0135133
0.523599	0.698132	0.1764500	0.0144467
0.698132	0.872665	0.0508833	0.0160600
0.872665	1.047198	-0.0018433	0.0180233
1.047198	1.221730	0.0228000	0.0204533
1.221730	1.396263	0.0609567	0.0231000
1.396263	1.570796	0.1449500	0.0236033
1.570796	1.745329	0.2441930	0.0221867
1.745329	1.919862	0.2493870	0.0204733
1.919862	2.094395	0.3086430	0.0187233
2.094395	2.268928	0.2591330	0.0174233
2.268928	2.443461	0.2500670	0.0167033
2.443461	2.617994	0.1638900	0.0158667
2.617994	2.792527	0.1581830	0.0157500
2.792527	2.967060	0.1217000	0.0151067
2.967060	3.141593	0.1151100	0.0153033
