dphi_low	dphi_high	1/Ntrig	    dY
0.000000	0.261799	0.02941340	0.00305000
0.261799	0.523599	0.02699000	0.00325000
0.523599	0.785398	0.01142666	0.00353666
0.785398	1.047198	-0.00275666	0.00412666
1.047198	1.308997	0.00721334	0.00486666
1.308997	1.570796	0.01299334	0.00536334
1.570796	1.832596	0.01999666	0.00489666
1.832596	2.094395	0.03411000	0.00438334
2.094395	2.356194	0.03336000	0.00406334
2.356194	2.617994	0.03485660	0.00387666
2.617994	2.879793	0.03237660	0.00381000
2.879793	3.141593	0.02421660	0.00373334
