dphi_low	dphi_high	1/Ntrig	    dY
0.000000	0.174533	0.4534100	0.0104433
0.174533	0.349066	0.3276000	0.0114267
0.349066	0.523599	0.2257000	0.0112200
0.523599	0.698132	0.1176300	0.0119133
0.698132	0.872665	0.0327900	0.0130933
0.872665	1.047198	-0.0257633	0.0145133
1.047198	1.221730	0.0181600	0.0163667
1.221730	1.396263	0.0323567	0.0183233
1.396263	1.570796	0.1304670	0.0187733
1.570796	1.745329	0.1419570	0.0175567
1.745329	1.919862	0.1737830	0.0162833
1.919862	2.094395	0.2131800	0.0150100
2.094395	2.268928	0.1841570	0.0140933
2.268928	2.443461	0.1680230	0.0136067
2.443461	2.617994	0.1643730	0.0130933
2.617994	2.792527	0.1125900	0.0130467
2.792527	2.967060	0.1063770	0.0125767
2.967060	3.141593	0.0520167	0.0127267
