dphi_low	dphi_high	1/Ntrig	    dY
0.000000	0.174533	0.1968300	0.0046250
0.174533	0.349066	0.1635600	0.0048975
0.349066	0.523599	0.1067880	0.0049650
0.523599	0.698132	0.0501900	0.0053200
0.698132	0.872665	0.0292850	0.0058850
0.872665	1.047198	0.0066425	0.0065850
1.047198	1.221730	-0.0128025	0.0075825
1.221730	1.396263	0.0163600	0.0088600
1.396263	1.570796	0.0202575	0.0093325
1.570796	1.745329	0.0540950	0.0085250
1.745329	1.919862	0.0628750	0.0074475
1.919862	2.094395	0.0588500	0.0067600
2.094395	2.268928	0.0490925	0.0063375
2.268928	2.443461	0.0458025	0.0060625
2.443461	2.617994	0.0328600	0.0057350
2.617994	2.792527	0.0270825	0.0056025
2.792527	2.967060	0.0118225	0.0054700
2.967060	3.141593	0.0093150	0.0054925
