dphi_low	dphi_high	1/Ntrig	    dY
0.000000	0.174533	0.1851980	0.0041300
0.174533	0.349066	0.1395900	0.0043125
0.349066	0.523599	0.0824850	0.0043050
0.523599	0.698132	0.0399150	0.0045475
0.698132	0.872665	0.0137650	0.0049425
0.872665	1.047198	0.0022600	0.0054625
1.047198	1.221730	-0.0042475	0.0062350
1.221730	1.396263	0.0162275	0.0072550
1.396263	1.570796	0.0427100	0.0076875
1.570796	1.745329	0.0552425	0.0069825
1.745329	1.919862	0.0571550	0.0061225
1.919862	2.094395	0.0581875	0.0056150
2.094395	2.268928	0.0541200	0.0053200
2.268928	2.443461	0.0459450	0.0051350
2.443461	2.617994	0.0306325	0.0048875
2.617994	2.792527	0.0209800	0.0047950
2.792527	2.967060	0.0174250	0.0047275
2.967060	3.141593	0.0253150	0.0047900
