# dphi_low dphi_high 1/Ntrig dY
0.000000 0.174533 0.581 0.012
0.174533 0.349066 0.502 0.014
0.349066 0.523599 0.326 0.014
0.523599 0.698132 0.176 0.014
0.698132 0.872665 0.051 0.016
0.872665 1.047198 -0.002 0.018
1.047198 1.221730 0.023 0.020
1.221730 1.396263 0.061 0.023
1.396263 1.570796 0.145 0.024
1.570796 1.745329 0.244 0.022
1.745329 1.919862 0.249 0.020
1.919862 2.094395 0.309 0.019
2.094395 2.268928 0.259 0.017
2.268928 2.443461 0.250 0.017
2.443461 2.617994 0.164 0.016
2.617994 2.792527 0.158 0.016
2.792527 2.967060 0.122 0.015
2.967060 3.141593 0.115 0.015
