# dphi_low dphi_high 1/Ntrig dY
0.000000 0.174533 0.453 0.010
0.174533 0.349066 0.328 0.011
0.349066 0.523599 0.226 0.011
0.523599 0.698132 0.118 0.012
0.698132 0.872665 0.033 0.013
0.872665 1.047198 -0.026 0.015
1.047198 1.221730 0.018 0.016
1.221730 1.396263 0.032 0.018
1.396263 1.570796 0.130 0.019
1.570796 1.745329 0.142 0.018
1.745329 1.919862 0.174 0.016
1.919862 2.094395 0.213 0.015
2.094395 2.268928 0.184 0.014
2.268928 2.443461 0.168 0.014
2.443461 2.617994 0.164 0.013
2.617994 2.792527 0.113 0.013
2.792527 2.967060 0.106 0.013
2.967060 3.141593 0.052 0.013
