# dphi_low dphi_high 1/Ntrig dY
0.000000 0.174533 0.197 0.005
0.174533 0.349066 0.164 0.005
0.349066 0.523599 0.107 0.005
0.523599 0.698132 0.050 0.005
0.698132 0.872665 0.029 0.006
0.872665 1.047198 0.007 0.007
1.047198 1.221730 -0.013 0.008
1.221730 1.396263 0.016 0.009
1.396263 1.570796 0.020 0.009
1.570796 1.745329 0.054 0.009
1.745329 1.919862 0.063 0.007
1.919862 2.094395 0.059 0.007
2.094395 2.268928 0.049 0.006
2.268928 2.443461 0.046 0.006
2.443461 2.617994 0.033 0.006
2.617994 2.792527 0.027 0.006
2.792527 2.967060 0.012 0.005
2.967060 3.141593 0.009 0.005
