# dphi_low dphi_high 1/Ntrig dY
0.000000 0.174533 0.185 0.004
0.174533 0.349066 0.140 0.004
0.349066 0.523599 0.082 0.004
0.523599 0.698132 0.040 0.005
0.698132 0.872665 0.014 0.005
0.872665 1.047198 0.002 0.005
1.047198 1.221730 -0.004 0.006
1.221730 1.396263 0.016 0.007
1.396263 1.570796 0.043 0.008
1.570796 1.745329 0.055 0.007
1.745329 1.919862 0.057 0.006
1.919862 2.094395 0.058 0.006
2.094395 2.268928 0.054 0.005
2.268928 2.443461 0.046 0.005
2.443461 2.617994 0.031 0.005
2.617994 2.792527 0.021 0.005
2.792527 2.967060 0.017 0.005
2.967060 3.141593 0.025 0.005
