# low high Invariant Statistical Systematic
0.60 0.70 0.9053 7e-4 0.08
0.70 0.80 0.5694 5e-4 0.05
0.80 0.90 0.3729 4e-4 0.035
0.90 1.00 0.24605 2.7e-4 0.023
1.00 1.10 0.16807 2.1e-4 0.016
1.10 1.20 0.11702 1.7e-4 0.011
1.20 1.30 0.08176 1.3e-4 0.008
1.30 1.40 0.05814 1.1e-4 0.005
1.40 1.50 0.04139 9e-5 0.004
1.50 1.60 0.03029 7e-5 0.0028
1.60 1.70 0.02219 6e-5 0.0021
1.70 1.80 0.01652 5e-5 0.0015
1.80 1.90 0.01223 4e-5 0.0011
1.90 2.00 0.009218 3.5e-5 9e-4
2.00 2.10 0.006818 2.9e-5 6e-4
2.10 2.20 0.005178 2.4e-5 5e-4
2.20 2.30 0.003923 2.1e-5 4e-4
2.30 2.40 0.003016 1.8e-5 2.8e-4
2.40 2.50 0.002366 1.6e-5 2.2e-4
2.50 2.60 0.001799 1.3e-5 1.7e-4
2.60 2.70 0.001412 1.1e-5 1.3e-4
2.70 2.80 0.001096 1.0e-5 1.0e-4
2.80 2.90 8.51e-4 8e-6 8e-5
2.90 3.00 6.77e-4 7e-6 6e-5
3.00 3.10 5.35e-4 6e-6 5e-5
3.10 3.20 4.05e-4 5e-6 4e-5
3.20 3.30 3.34e-4 5e-6 3.1e-5
3.30 3.40 2.67e-4 4e-6 2.5e-5
3.40 3.50 2.06e-4 4e-6 1.9e-5
3.50 3.60 1.755e-4 3.4e-6 1.6e-5
3.60 3.70 1.409e-4 3.0e-6 1.3e-5
3.70 3.80 1.136e-4 2.6e-6 1.1e-5
3.80 3.90 9.78e-5 2.4e-6 9e-6
3.90 4.00 7.83e-5 2.1e-6 7e-6
4.00 4.10 6.23e-5 1.9e-6 6e-6
4.10 4.20 5.20e-5 1.7e-6 5e-6
4.20 4.30 4.27e-5 1.5e-6 4e-6
4.30 4.40 3.40e-5 1.3e-6 3.2e-6
4.40 4.50 2.82e-5 1.2e-6 2.6e-6
4.50 4.60 2.51e-5 1.1e-6 2.3e-6
4.60 4.70 2.12e-5 1.0e-6 2.0e-6
4.70 4.80 1.63e-5 8e-7 1.5e-6
4.80 4.90 1.46e-5 8e-7 1.4e-6
4.90 5.00 1.18e-5 7e-7 1.1e-6
5.00 5.50 8.76e-6 2.5e-7 8e-7
5.50 6.00 3.28e-6 1.4e-7 3.1e-7
6.00 6.50 1.89e-6 1.0e-7 1.8e-7
6.50 7.00 1.25e-6 7e-8 1.5e-7
7.00 7.50 5.6e-7 4e-8 2.2e-7
7.50 8.50 2.70e-7 1.8e-8 3.3e-8
8.50 9.50 8.6e-8 7e-9 1.7e-8
