low     high    Invariant       Statistical     Systematic
0.60    0.70    9.053008e-01    6.701476e-04    8.410728e-02
0.70    0.80    5.693505e-01    4.809744e-04    5.289547e-02
0.80    0.90    3.729385e-01    3.597177e-04    3.464775e-02
0.90    1.00    2.460500e-01    2.714708e-04    2.285921e-02
1.00    1.10    1.680724e-01    2.110397e-04    1.561471e-02
1.10    1.20    1.170161e-01    1.671552e-04    1.087134e-02
1.20    1.30    8.176088e-02    1.323813e-04    7.595969e-03
1.30    1.40    5.814158e-02    1.067046e-04    5.401619e-03
1.40    1.50    4.138561e-02    8.605282e-05    3.844918e-03
1.50    1.60    3.028597e-02    7.106597e-05    2.813710e-03
1.60    1.70    2.218634e-02    5.871510e-05    2.061218e-03
1.70    1.80    1.651801e-02    4.937682e-05    1.534605e-03
1.80    1.90    1.222693e-02    4.099642e-05    1.135942e-03
1.90    2.00    9.217910e-03    3.476721e-05    8.563907e-04
2.00    2.10    6.818464e-03    2.871853e-05    6.334699e-04
2.10    2.20    5.178437e-03    2.448131e-05    4.811027e-04
2.20    2.30    3.923117e-03    2.071649e-05    3.644803e-04
2.30    2.40    3.016335e-03    1.775755e-05    2.802363e-04
2.40    2.50    2.365766e-03    1.553261e-05    2.197940e-04
2.50    2.60    1.798512e-03    1.313352e-05    1.670936e-04
2.60    2.70    1.411628e-03    1.139910e-05    1.311495e-04
2.70    2.80    1.095712e-03    9.830643e-06    1.017988e-04
2.80    2.90    8.510709e-04    8.441393e-06    7.907095e-05
2.90    3.00    6.771327e-04    7.409332e-06    6.291101e-05
3.00    3.10    5.353286e-04    6.447238e-06    4.973597e-05
3.10    3.20    4.050254e-04    5.488150e-06    3.763154e-05
3.20    3.30    3.336874e-04    4.890811e-06    3.100344e-05
3.30    3.40    2.666508e-04    4.315352e-06    2.477489e-05
3.40    3.50    2.062511e-04    3.694200e-06    1.916430e-05
3.50    3.60    1.755027e-04    3.378016e-06    1.630603e-05
3.60    3.70    1.408962e-04    2.967227e-06    1.309154e-05
3.70    3.80    1.136336e-04    2.596821e-06    1.055868e-05
3.80    3.90    9.778469e-05    2.406199e-06    9.085820e-06
3.90    4.00    7.827688e-05    2.100597e-06    7.273710e-06
4.00    4.10    6.233452e-05    1.868110e-06    5.801106e-06
4.10    4.20    5.198210e-05    1.663088e-06    4.838615e-06
4.20    4.30    4.271500e-05    1.485369e-06    3.976087e-06
4.30    4.40    3.395849e-05    1.297867e-06    3.161500e-06
4.40    4.50    2.816944e-05    1.169193e-06    2.623085e-06
4.50    4.60    2.505833e-05    1.083771e-06    2.333144e-06
4.60    4.70    2.124283e-05    9.837871e-07    1.986688e-06
4.70    4.80    1.629620e-05    8.332914e-07    1.525509e-06
4.80    4.90    1.462142e-05    8.010211e-07    1.367770e-06
4.90    5.00    1.178475e-05    6.909185e-07    1.104470e-06
5.00    5.50    8.756881e-06    2.545894e-07    8.286562e-07
5.50    6.00    3.279401e-06    1.366116e-07    3.124871e-07
6.00    6.50    1.888101e-06    9.611277e-08    1.830092e-07
6.50    7.00    1.253403e-06    7.491225e-08    1.502037e-07
7.00    7.50    5.579988e-07    4.133493e-08    2.231008e-07
7.50    8.50    2.703848e-07    1.750295e-08    3.280131e-08
8.50    9.50    8.553140e-08    6.927538e-09    1.733908e-08
