low	high	Invariant	Statistical	Systematic
0.6	0.7	7.95E-01	1.35E-03	7.38E-02
0.7	0.8	4.99E-01	9.67E-04	4.64E-02
0.8	0.9	3.24E-01	7.20E-04	3.01E-02
0.9	1	2.13E-01	5.42E-04	1.97E-02
1	1.1	1.44E-01	4.19E-04	1.34E-02
1.1	1.2	9.96E-02	3.31E-04	9.25E-03
1.2	1.3	6.90E-02	2.61E-04	6.40E-03
1.3	1.4	4.89E-02	2.10E-04	4.54E-03
1.4	1.5	3.46E-02	1.69E-04	3.21E-03
1.5	1.6	2.51E-02	1.39E-04	2.33E-03
1.6	1.7	1.83E-02	1.15E-04	1.70E-03
1.7	1.8	1.36E-02	9.61E-05	1.26E-03
1.8	1.9	9.93E-03	7.93E-05	9.22E-04
1.9	2	7.54E-03	6.76E-05	7.00E-04
2	2.1	5.57E-03	5.57E-05	5.17E-04
2.1	2.2	4.26E-03	4.77E-05	3.96E-04
2.2	2.3	3.18E-03	4.00E-05	2.95E-04
2.3	2.4	2.43E-03	3.42E-05	2.26E-04
2.4	2.5	1.93E-03	3.02E-05	1.79E-04
2.5	2.6	1.50E-03	2.58E-05	1.39E-04
2.6	2.7	1.12E-03	2.18E-05	1.04E-04
2.7	2.8	8.89E-04	1.90E-05	8.26E-05
2.8	2.9	6.93E-04	1.64E-05	6.43E-05
2.9	3	5.69E-04	1.46E-05	5.28E-05
3	3.1	4.19E-04	1.22E-05	3.89E-05
3.1	3.2	3.23E-04	1.05E-05	3.00E-05
3.2	3.3	2.66E-04	9.36E-06	2.47E-05
3.3	3.4	2.11E-04	8.25E-06	1.96E-05
3.4	3.5	1.55E-04	6.90E-06	1.44E-05
3.5	3.6	1.42E-04	6.55E-06	1.31E-05
3.6	3.7	1.12E-04	5.67E-06	1.04E-05
3.7	3.8	9.55E-05	5.10E-06	8.87E-06
3.8	3.9	8.06E-05	4.71E-06	7.49E-06
3.9	4	6.04E-05	3.97E-06	5.62E-06
4	4.1	4.69E-05	3.50E-06	4.36E-06
4.1	4.2	4.00E-05	3.10E-06	3.73E-06
4.2	4.3	3.61E-05	3.01E-06	3.36E-06
4.3	4.4	2.97E-05	2.66E-06	2.77E-06
4.4	4.5	2.40E-05	2.29E-06	2.25E-06
4.5	4.6	1.92E-05	2.04E-06	1.80E-06
4.6	4.7	1.84E-05	2.02E-06	1.72E-06
4.7	4.8	1.21E-05	1.44E-06	1.16E-06
4.8	4.9	8.19E-06	1.32E-06	7.74E-07
4.9	5	1.12E-05	1.51E-06	1.05E-06
5	5.5	6.88E-06	4.82E-07	6.56E-07
5.5	6	3.23E-06	3.02E-07	3.15E-07
6	6.5	1.43E-06	1.80E-07	1.53E-07
6.5	7	8.85E-07	1.35E-07	9.60E-08
7	7.5	5.40E-07	1.05E-07	7.16E-08
7.5	8.5	2.24E-07	3.99E-08	3.99E-08
8.5	9.5	6.15E-08	2.46E-08	2.35E-08
