low	high	yield	stat	sys
0.60	0.70	7.46E-01	3.78E-03	7.15E-02
0.70	0.80	4.62E-01	2.67E-03	4.42E-02
0.80	0.90	3.13E-01	2.08E-03	2.99E-02
0.90	1.00	2.07E-01	1.57E-03	1.98E-02
1.00	1.10	1.39E-01	1.20E-03	1.33E-02
1.10	1.20	9.83E-02	9.77E-04	9.39E-03
1.20	1.30	6.74E-02	7.53E-04	6.44E-03
1.30	1.40	4.90E-02	6.26E-04	4.68E-03
1.40	1.50	3.57E-02	5.24E-04	3.41E-03
1.50	1.60	2.64E-02	4.38E-04	2.52E-03
1.60	1.70	1.85E-02	3.47E-04	1.77E-03
1.70	1.80	1.45E-02	3.02E-04	1.38E-03
1.80	1.90	1.04E-02	2.44E-04	1.00E-03
1.90	2.00	7.70E-03	2.04E-04	7.40E-04
2.00	2.10	6.23E-03	1.88E-04	5.97E-04
2.10	2.20	4.27E-03	1.41E-04	4.07E-04
2.20	2.30	3.46E-03	1.28E-04	3.34E-04
2.30	2.40	2.50E-03	1.06E-04	2.42E-04
2.40	2.50	2.11E-03	9.85E-05	2.02E-04
2.50	2.60	1.46E-03	7.83E-05	1.40E-04
2.60	2.70	1.16E-03	6.82E-05	1.11E-04
2.70	2.80	9.90E-04	6.31E-05	9.78E-05
2.80	2.90	7.46E-04	5.33E-05	7.21E-05
2.90	3.00	6.42E-04	5.12E-05	6.24E-05
3.00	3.10	5.28E-04	4.67E-05	4.99E-05
3.10	3.20	2.78E-04	2.80E-05	2.85E-05
3.20	3.30	2.64E-04	2.86E-05	3.10E-05
3.30	3.40	2.41E-04	2.97E-05	2.33E-05
3.40	3.50	2.43E-04	3.62E-05	2.31E-05
3.50	3.60	1.10E-04	1.62E-05	1.06E-05
3.60	3.70	9.43E-05	1.84E-05	1.00E-05
3.70	3.80	8.23E-05	1.53E-05	1.02E-05
3.80	3.90	7.76E-05	1.62E-05	9.84E-06
3.90	4.00	7.77E-05	1.70E-05	7.58E-06
4.00	4.10	8.17E-05	1.83E-05	7.73E-06
4.10	4.20	4.78E-05	9.96E-06	4.52E-06
4.20	4.30	3.80E-05	1.58E-05	5.37E-06
4.30	4.40	2.57E-05	1.73E-05	3.07E-06
4.40	4.50	2.92E-05	8.78E-06	2.76E-06
4.50	4.60	2.85E-05	7.89E-06	2.69E-06
4.60	5.00	9.56E-06	6.31E-06	3.93E-06
5.00	7.00	1.17E-06	1.00E-06	8.70E-07
