# low high R_dAu stat. sys.
0.6 0.7 0.6965 0.0019 0.022
0.7 0.8 0.7156 0.0023 0.023
0.8 0.9 0.7623 0.0028 0.024
0.9 1 0.7805 0.0034 0.025
1 1.1 0.810 0.004 0.026
1.1 1.2 0.863 0.005 0.028
1.2 1.3 0.899 0.006 0.029
1.3 1.4 0.940 0.007 0.030
1.4 1.5 0.945 0.008 0.030
1.5 1.6 0.957 0.010 0.031
1.6 1.7 1.019 0.012 0.033
1.7 1.8 1.034 0.014 0.033
1.8 1.9 1.069 0.016 0.034
1.9 2 1.066 0.018 0.034
2 2.1 1.089 0.021 0.035
2.1 2.2 1.056 0.023 0.034
2.2 2.3 1.186 0.029 0.04
2.3 2.4 1.149 0.031 0.04
2.4 2.5 1.147 0.035 0.04
2.5 2.6 1.26 0.04 0.04
2.6 2.7 1.18 0.04 0.04
2.7 2.8 1.21 0.05 0.04
2.8 2.9 1.23 0.06 0.04
2.9 3 1.36 0.07 0.04
3 3.2 1.20 0.05 0.04
3.2 3.25 1.29 0.07 0.04
3.25 3.55 1.30 0.08 0.04
3.55 3.7 1.22 0.09 0.04
3.7 4 1.26 0.11 0.04
4 4.25 1.34 0.12 0.04
4.25 4.6 1.24 0.14 0.04
4.6 4.9 1.54 0.27 0.05
4.9 5.75 1.16 0.18 0.04
5.75 7 1.04 0.24 0.05
