low	high	R_dAu	stat.	sys.
0.6	0.7	0.650262	0.00170411	0.0208239
0.7	0.8	0.673801	0.00206754	0.0215758
0.8	0.9	0.722339	0.00259466	0.0231286
0.9	1	0.747055	0.00313973	0.02392
1	1.1	0.779902	0.00380401	0.0249712
1.1	1.2	0.83354	0.00473263	0.0266879
1.2	1.3	0.879426	0.0057559	0.0281582
1.3	1.4	0.921612	0.00694741	0.029508
1.4	1.5	0.927713	0.00796327	0.0297036
1.5	1.6	0.942112	0.00932838	0.030166
1.6	1.7	1.01833	0.0115307	0.0326056
1.7	1.8	1.01948	0.0130644	0.0326445
1.8	1.9	1.07781	0.0157305	0.0345111
1.9	2	1.0896	0.017969	0.0348911
2	2.1	1.08411	0.0201171	0.0347143
2.1	2.2	1.07625	0.0222511	0.034462
2.2	2.3	1.18303	0.0280844	0.0378917
2.3	2.4	1.16836	0.0308991	0.0374239
2.4	2.5	1.16512	0.0346391	0.0373154
2.5	2.6	1.26779	0.0430438	0.0406116
2.6	2.7	1.19161	0.0436794	0.0381651
2.7	2.8	1.17345	0.0476516	0.0375864
2.8	2.9	1.24616	0.0568533	0.0399281
2.9	3	1.33613	0.0705714	0.0428089
3	3.2	1.16697	0.0468513	0.037404
3.2	3.25	1.35778	0.0699776	0.0435429
3.25	3.55	1.31261	0.0807919	0.0421282
3.55	3.7	1.31589	0.0970317	0.0422594
3.7	4	1.22188	0.101631	0.0392624
4	4.25	1.20775	0.106404	0.0390378
4.25	4.6	1.15495	0.127418	0.037551
4.6	4.9	1.51277	0.258451	0.0511606
4.9	5.75	1.07257	0.168918	0.0391998
5.75	7	0.852054	0.192132	0.0397448
