# pT ratio stat. sys.
1.25 1.45322 0.10 0.16
1.75 1.64067 0.06 0.18
2.25 1.75699 0.04 0.19
2.75 1.80799 0.04 0.20
3.25 1.80266 0.06 0.20
3.75 1.67161 0.08 0.19
4.25 1.79364 0.12 0.21
4.75 1.73311 0.14 0.21
5.25 2.07934 0.10 0.25
5.75 1.55255 0.11 0.19
6.25 1.68938 0.15 0.22
6.75 2.35973 0.23 0.31
7.25 1.77949 0.22 0.26
1.25 1.49892 0.10 0.17
1.75 1.67999 0.06 0.18
2.25 1.77192 0.04 0.20
2.75 1.83024 0.05 0.20
3.25 1.72831 0.07 0.19
3.75 1.8098 0.10 0.21
4.25 1.86891 0.15 0.22
4.75 1.58644 0.16 0.19
5.25 1.88043 0.11 0.23
5.75 1.28844 0.11 0.16
6.25 1.95997 0.19 0.25
6.75 2.42223 0.29 0.31
7.25 1.74917 0.26 0.26
1.25 1.47774 0.08 0.17
1.75 1.63555 0.06 0.18
2.25 1.70005 0.04 0.19
2.75 1.78299 0.06 0.20
3.25 1.6983 0.08 0.19
3.75 1.70386 0.11 0.19
4.25 1.69165 0.17 0.20
4.75 1.41885 0.17 0.17
5.25 1.87851 0.14 0.23
5.75 1.82016 0.18 0.23
6.25 1.52541 0.20 0.20
6.75 1.75867 0.28 0.24
7.25 2.05016 0.4 0.4
1.25 1.40481 0.08 0.16
1.75 1.52346 0.05 0.17
2.25 1.54515 0.04 0.17
2.75 1.58059 0.06 0.18
3.25 1.63914 0.09 0.18
3.75 1.7479 0.14 0.20
4.25 1.23219 0.15 0.14
4.75 1.47071 0.25 0.18
5.25 2.16488 0.19 0.26
5.75 1.8278 0.21 0.23
6.25 1.843 0.28 0.24
6.75 2.21163 0.43 0.30
7.25 1.51947 0.46 0.24
