$p_T m\mathrm{GeV}/c$
4
ratio
ratio
ratio
ratio
Centrality A (Central)
Centrality B
Centrality C
Centrality D (Peripheral)
yes
none
none
2
stat.
symmetric
sys.
symmetric
1	1.5	1.45322	0.1	0.16
1.5	2	1.64067	0.06	0.18
2	2.5	1.75699	0.04	0.19
2.5	3	1.80799	0.04	0.2
3	3.5	1.80266	0.06	0.2
3.5	4	1.67161	0.08	0.19
4	4.5	1.79364	0.12	0.21
4.5	5	1.73311	0.14	0.21
5	5.5	2.07934	0.1	0.25
5.5	6	1.55255	0.11	0.19
6	6.5	1.68938	0.15	0.22
6.5	7	2.35973	0.23	0.31
7	7.5	1.77949	0.22	0.26
***
1	1.5	1.49892	0.1	0.17
1.5	2	1.67999	0.06	0.18
2	2.5	1.77192	0.04	0.2
2.5	3	1.83024	0.05	0.2
3	3.5	1.72831	0.07	0.19
3.5	4	1.8098	0.1	0.21
4	4.5	1.86891	0.15	0.22
4.5	5	1.58644	0.16	0.19
5	5.5	1.88043	0.11	0.23
5.5	6	1.28844	0.11	0.16
6	6.5	1.95997	0.19	0.25
6.5	7	2.42223	0.29	0.31
7	7.5	1.74917	0.26	0.26
***
1	1.5	1.47774	0.08	0.17
1.5	2	1.63555	0.06	0.18
2	2.5	1.70005	0.04	0.19
2.5	3	1.78299	0.06	0.2
3	3.5	1.6983	0.08	0.19
3.5	4	1.70386	0.11	0.19
4	4.5	1.69165	0.17	0.2
4.5	5	1.41885	0.17	0.17
5	5.5	1.87851	0.14	0.23
5.5	6	1.82016	0.18	0.23
6	6.5	1.52541	0.2	0.2
6.5	7	1.75867	0.28	0.24
7	7.5	2.05016	0.4	0.4
***
1	1.5	1.40481	0.08	0.16
1.5	2	1.52346	0.05	0.17
2	2.5	1.54515	0.04	0.17
2.5	3	1.58059	0.06	0.18
3	3.5	1.63914	0.09	0.18
3.5	4	1.7479	0.14	0.2
4	4.5	1.23219	0.15	0.14
4.5	5	1.47071	0.25	0.18
5	5.5	2.16488	0.19	0.26
5.5	6	1.8278	0.21	0.23
6	6.5	1.843	0.28	0.24
6.5	7	2.21163	0.43	0.3
7	7.5	1.51947	0.46	0.24
***
