# pt v2 errv2 syslow syshigh
0.248 0.01089 1e-4 0.0016 0.0016
0.348 0.02714 0.000 0.004 0.004
0.449 0.03914 0.000 0.006 0.006
0.547 0.04592 0.000 0.007 0.007
0.649 0.05281 0.000 0.008 0.008
0.748 0.05977 0.000 0.009 0.009
0.848 0.06637 0.000 0.010 0.010
0.948 0.07459 0.000 0.011 0.011
1.092 0.08249 0.000 0.012 0.012
1.291 0.09506 0.001 0.014 0.014
1.490 0.10997 0.001 0.017 0.017
1.689 0.12394 0.001 0.019 0.019
1.891 0.13378 0.001 0.020 0.020
2.196 0.14881 0.001 0.022 0.022
2.699 0.16781 0.002 0.025 0.025
3.328 0.16669 0.004 0.025 0.025
4.357 0.13468 0.010 0.020 0.020
5.371 0.14951 0.022 0.022 0.022
6.587 0.11931 0.026 0.018 0.018
