  pt       v2         errv2          syslow   syshigh
  0.251    0.01201    0.00052       0.00152    0.00152    
  0.349    0.03575    0.00056       0.00454    0.00454    
  0.448    0.05111    0.00063       0.00649    0.00649    
  0.548    0.06256    0.00071       0.00794    0.00794    
  0.648    0.07591    0.00080       0.00963    0.00963    
  0.748    0.08903    0.00091       0.01130    0.01130    
  0.848    0.09965    0.00103       0.01264    0.01264    
  0.948    0.11124    0.00118       0.01411    0.01411    
  1.091    0.12340    0.00103       0.01566    0.01566    
  1.290    0.14241    0.00133       0.01807    0.01807    
  1.489    0.16236    0.00178       0.02060    0.02060    
  1.689    0.17737    0.00248       0.02251    0.02251    
  1.890    0.19295    0.00337       0.02448    0.02448    
  2.198    0.21282    0.00330       0.02700    0.02700    
  2.700    0.22201    0.00623       0.02817    0.02817    
  3.348    0.21980    0.00917       0.02789    0.02789    
  4.373    0.24935    0.02292       0.03164    0.03164    
  5.452    0.36285    0.05515       0.04604    0.04604    
  6.734    0.40554    0.08167       0.05146    0.05146    
