  pt       v2         errv2      syslow     syshigh 
  0.247    0.00966    0.00016    0.00700    0.00700
  0.348    0.01762    0.00025    0.00154    0.00154
  0.448    0.02169    0.00030    0.00216    0.00216
  0.548    0.02586    0.00035    0.00232    0.00232
  0.648    0.02993    0.00041    0.00214    0.00214
  0.748    0.03367    0.00046    0.00193    0.00193
  0.848    0.03763    0.00051    0.00162    0.00162
  0.948    0.04176    0.00057    0.00164    0.00164
  1.092    0.04660    0.00061    0.00147    0.00147
  1.292    0.05310    0.00070    0.00141    0.00141
  1.492    0.05988    0.00082    0.00124    0.00124
  1.692    0.06663    0.00096    0.00156    0.00156
  1.892    0.07412    0.00115    0.00139    0.00139
  2.200    0.08070    0.00121    0.00108    0.00108
  2.703    0.09052    0.00179    0.00157    0.00157
  3.343    0.09249    0.00257    0.00301    0.00301
  4.381    0.08295    0.00667    0.00954    0.00954
