# pt  v2 errv2 syslow syshigh
0.247 0.00966 0.000 0.007 0.007
0.348 0.01762 3e-4 0.0015 0.0015
0.448 0.02169 3e-4 0.0022 0.0022
0.548 0.02586 4e-4 0.0023 0.0023
0.648 0.02993 4e-4 0.0021 0.0021
0.748 0.03367 5e-4 0.0019 0.0019
0.848 0.03763 5e-4 0.0016 0.0016
0.948 0.04176 6e-4 0.0016 0.0016
1.092 0.04660 6e-4 0.0015 0.0015
1.292 0.05310 7e-4 0.0014 0.0014
1.492 0.05988 8e-4 0.0012 0.0012
1.692 0.06663 0.0010 0.0016 0.0016
1.892 0.07412 0.0012 0.0014 0.0014
2.200 0.08070 0.0012 0.0011 0.0011
2.703 0.09052 0.0018 0.0016 0.0016
3.343 0.09249 0.0026 0.0030 0.0030
4.381 0.08295 0.007 0.010 0.010
