  pt       v2         errv2    syslow     syshigh 
  0.247    0.02735    0.00024    0.02413    0.02413
  0.348    0.04524    0.00027    0.00370    0.00370
  0.448    0.06005    0.00031    0.00234    0.00234
  0.548    0.07469    0.00035    0.00188    0.00188
  0.648    0.08802    0.00040    0.00155    0.00155
  0.748    0.09969    0.00045    0.00153    0.00153
  0.848    0.11102    0.00051    0.00158    0.00158
  0.948    0.12198    0.00057    0.00126    0.00126
  1.092    0.13583    0.00054    0.00111    0.00111
  1.292    0.15374    0.00066    0.00127    0.00127
  1.492    0.16932    0.00083    0.00153    0.00153
  1.692    0.18373    0.00110    0.00176    0.00176
  1.892    0.19466    0.00144    0.00174    0.00174
  2.200    0.20485    0.00142    0.00174    0.00174
  2.703    0.21518    0.00252    0.00201    0.00201
  3.343    0.21226    0.00376    0.00314    0.00314
  4.381    0.17973    0.00958    0.00491    0.00491
  5.410    0.16095    0.02239    0.01026    0.01026
  6.852    0.15359    0.04556    0.03719    0.03719
