  pt       v2         errv2    syslow     syshigh
  0.247    0.02367    0.00011    0.01358    0.01358
  0.348    0.03981    0.00012    0.00362    0.00362
  0.448    0.05138    0.00014    0.00307    0.00307
  0.548    0.06250    0.00015    0.00299    0.00299
  0.648    0.07276    0.00017    0.00271    0.00271
  0.748    0.08298    0.00019    0.00218    0.00218
  0.848    0.09184    0.00022    0.00221    0.00221
  0.948    0.10139    0.00024    0.00202    0.00202
  1.092    0.11279    0.00021    0.00198    0.00198
  1.292    0.12862    0.00027    0.00180    0.00180
  1.492    0.14459    0.00036    0.00202    0.00202
  1.692    0.15864    0.00049    0.00194    0.00194
  1.892    0.17169    0.00066    0.00189    0.00189
  2.200    0.18437    0.00065    0.00179    0.00179
  2.703    0.19554    0.00123    0.00220    0.00220
  3.343    0.19585    0.00192    0.00253    0.00253
  4.381    0.18189    0.00521    0.00484    0.00484
  5.410    0.14502    0.01244    0.00954    0.00954
  6.852    0.15856    0.02490    0.01804    0.01804
