  pt_low    pt_high   v2 errv2 syslow syshigh
  0.200     0.300     0.02164 0.001 0.016 0.016
  0.300     0.400     0.03766 8e-4 0.0034 0.0034
  0.400     0.500     0.05159 9e-4 0.0024 0.0024
  0.500     0.600     0.06277 0.0010 0.0016 0.0016
  0.600     0.700     0.07471 0.0011 0.0013 0.0013
  0.700     0.800     0.08320 0.0013 0.0012 0.0012
  0.800     0.900     0.09675 0.0014 0.0017 0.0017
  0.900     1.000     0.10720 0.0016 0.0012 0.0012
  1.000     1.200     0.11901 0.0015 0.0014 0.0014
  1.200     1.400     0.12717 0.0018 0.0016 0.0016
  1.400     1.600     0.14188 0.0024 0.0021 0.0021
  1.600     1.800     0.15811 0.0033 0.0024 0.0024
  1.800     2.000     0.15997 0.0044 0.0030 0.0030
  2.000     2.400     0.16724 0.0043 0.0031 0.0031
  2.400     3.000     0.18027 0.008 0.004 0.004
  3.000     3.700     0.13888 0.0114 0.0033 0.0033
  3.700     5.000     0.12204 0.029 0.017 0.017
