  pt_low    pt_high   v2 errv2 syslow syshigh
  0.200     0.300     0.01127 2e-4 0.0016 0.0016
  0.300     0.400     0.03713 0.000 0.005 0.005
  0.400     0.500     0.05370 0.000 0.007 0.007
  0.500     0.600     0.06252 0.000 0.009 0.009
  0.600     0.700     0.07147 0.000 0.010 0.010
  0.700     0.800     0.08144 0.000 0.011 0.011
  0.800     0.900     0.09118 0.000 0.013 0.013
  0.900     1.000     0.10071 0.001 0.014 0.014
  1.000     1.200     0.11227 0.000 0.015 0.015
  1.200     1.400     0.12982 0.001 0.018 0.018
  1.400     1.600     0.14786 0.001 0.020 0.020
  1.600     1.800     0.16113 0.001 0.022 0.022
  1.800     2.000     0.17515 0.001 0.024 0.024
  2.000     2.400     0.19364 0.001 0.027 0.027
  2.400     3.000     0.20931 0.003 0.029 0.029
  3.000     3.700     0.20299 0.004 0.028 0.028
  3.700     5.000     0.19729 0.012 0.027 0.027
  5.000     6.500     0.18635 0.026 0.026 0.026
  6.500     8.500     0.15079 0.048 0.021 0.021
