# pt  v2 errv2 syslow syshigh
0.247 0.00859 1e-4 0.0016 0.0016
0.347 0.01406 2e-4 0.0026 0.0026
0.450 0.01882 2e-4 0.0035 0.0035
0.547 0.02140 0.000 0.004 0.004
0.649 0.02395 0.000 0.004 0.004
0.748 0.02718 0.000 0.005 0.005
0.847 0.03087 0.000 0.006 0.006
0.949 0.03605 0.000 0.007 0.007
1.090 0.03950 0.000 0.007 0.007
1.291 0.04734 0.001 0.009 0.009
1.490 0.05633 0.001 0.011 0.011
1.689 0.06542 0.001 0.012 0.012
1.890 0.07148 0.001 0.013 0.013
2.194 0.08352 0.001 0.016 0.016
2.698 0.09362 0.002 0.018 0.018
3.329 0.08866 0.004 0.017 0.017
4.365 0.08997 0.011 0.017 0.017
5.376 0.07933 0.024 0.015 0.015
6.695 0.08701 0.027 0.016 0.016
